station;VARIABLE;YEAR;MONTH;DAY;HOUR;Value
station252;Wind;2019;1;2;6;1.28883333333333
station206;Wind;2019;1;2;6;0.583333333333334
station229;Wind;2019;1;2;6;0.595166666666667
station322;Wind;2019;1;2;6;0.968
station318;Wind;2019;1;2;6;1.0015
station105;Wind;2019;1;2;6;0.836666666666666
station82;Wind;2019;1;2;7;0.575
station254;Wind;2019;1;2;7;0.441666666666667
station319;Wind;2019;1;2;7;0.477166666666667
station271;Wind;2019;1;2;7;0.671666666666667
station349;Wind;2019;1;2;7;-999
station83;Wind;2019;1;2;7;0.57
station68;Wind;2019;1;2;7;0.688333333333333
station197;Wind;2019;1;2;7;0.899166666666667
station59;Wind;2019;1;2;7;0.556666666666667
station313;Wind;2019;1;2;7;0.903333333333333
station252;Wind;2019;1;2;7;1.1075
station206;Wind;2019;1;2;7;0.65
station229;Wind;2019;1;2;7;0.521333333333333
station322;Wind;2019;1;2;7;0.772833333333333
station318;Wind;2019;1;2;7;0.840166666666667
station105;Wind;2019;1;2;7;0.721666666666667
station82;Wind;2019;1;2;8;0.408333333333333
station254;Wind;2019;1;2;8;0.606166666666667
station319;Wind;2019;1;2;8;0.604833333333333
station271;Wind;2019;1;2;8;0.7605
station349;Wind;2019;1;2;8;-999
station83;Wind;2019;1;2;8;1.49666666666667
station68;Wind;2019;1;2;8;0.745
station197;Wind;2019;1;2;8;0.651
station59;Wind;2019;1;2;8;1.11
station313;Wind;2019;1;2;8;0.841333333333333
station252;Wind;2019;1;2;8;1.57733333333333
station206;Wind;2019;1;2;8;1.18333333333333
station229;Wind;2019;1;2;8;1.035
station322;Wind;2019;1;2;8;0.8935
station318;Wind;2019;1;2;8;0.8415
station105;Wind;2019;1;2;8;1.19666666666667
station82;Wind;2019;1;2;9;0.63
station254;Wind;2019;1;2;9;0.698666666666667
station319;Wind;2019;1;2;9;0.839
station271;Wind;2019;1;2;9;1.207
station349;Wind;2019;1;2;9;-999
station83;Wind;2019;1;2;9;1.34666666666667
station68;Wind;2019;1;2;9;1.10333333333333
station197;Wind;2019;1;2;9;0.8965
station59;Wind;2019;1;2;9;0.761666666666667
station313;Wind;2019;1;2;9;0.944833333333333
station252;Wind;2019;1;2;9;1.7415
station206;Wind;2019;1;2;9;1.30833333333333
station229;Wind;2019;1;2;9;1.42716666666667
station322;Wind;2019;1;2;9;1.29266666666667
station318;Wind;2019;1;2;9;1.353
station105;Wind;2019;1;2;9;1.66333333333333
station82;Wind;2019;1;2;10;1.155
station254;Wind;2019;1;2;10;1.38716666666667
station319;Wind;2019;1;2;10;1.47883333333333
station271;Wind;2019;1;2;10;1.68233333333333
station349;Wind;2019;1;2;10;-999
station83;Wind;2019;1;2;10;2.23333333333333
station68;Wind;2019;1;2;10;2.54333333333333
station197;Wind;2019;1;2;10;1.13233333333333
station59;Wind;2019;1;2;10;0.978333333333333
station313;Wind;2019;1;2;10;1.80466666666667
station252;Wind;2019;1;2;10;1.98816666666667
station206;Wind;2019;1;2;10;1.26166666666667
station229;Wind;2019;1;2;10;1.9175
station322;Wind;2019;1;2;10;1.29566666666667
station318;Wind;2019;1;2;10;1.5755
