,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2016-02-01 00:00:00,3,29.0,-1.0,-9999.0,1.0,-9999.0,1.0,1.1,-1.0,10.8,-1.0,11.9,-1.0,11.0,-1.0,0.65,-1.0,-9964.0,4.1964,-9999.0,1.0,76.9647,1.0,78.3543,1.0,644.511,1.0,0.0,1.0,0.0,1.0,20.1388,1.0,1.27375,1.0
2016-02-01 01:00:00,3,34.0,-1.0,-9999.0,1.0,-9999.0,1.0,1.3,-1.0,10.9,-1.0,12.2,-1.0,7.9,-1.0,0.63,-1.0,-9964.0,4.1964,-9999.0,1.0,51.2,-1.0,81.2,-1.0,644.186,1.0,0.0,-1.0,0.0,-1.0,19.48,-1.0,0.6,-1.0
2016-02-01 02:00:00,3,24.0,-1.0,-9999.0,1.0,-9999.0,1.0,1.5,-1.0,10.3,-1.0,11.9,-1.0,6.9,-1.0,0.65,-1.0,-9964.0,4.1964,-9999.0,1.0,18.5,-1.0,81.4,-1.0,643.792,1.0,0.0,-1.0,0.0,-1.0,19.24,-1.0,0.5,-1.0
2016-02-01 03:00:00,3,30.0,-1.0,-9999.0,1.0,-9999.0,1.0,1.7,-1.0,10.0,-1.0,11.7,-1.0,7.2,-1.0,0.61,-1.0,-9964.0,4.1964,-9999.0,1.0,75.4,-1.0,80.1,-1.0,643.538,1.0,0.0,-1.0,0.0,-1.0,19.39,-1.0,1.3,-1.0
2016-02-01 04:00:00,3,29.0,-1.0,-9999.0,1.0,-9999.0,1.0,1.1,-1.0,8.3,-1.0,9.4,-1.0,9.4,-1.0,0.57,-1.0,-9964.0,4.1964,-9999.0,1.0,59.1,-1.0,84.0,-1.0,643.421,1.0,0.0,-1.0,0.0,-1.0,19.1,-1.0,1.0,-1.0
2016-02-01 05:00:00,3,25.0,-1.0,-9999.0,1.0,-9999.0,1.0,2.2,-1.0,11.2,-1.0,13.4,-1.0,6.1,-1.0,0.62,-1.0,-9964.0,4.1964,-9999.0,1.0,45.8,-1.0,84.8,-1.0,643.461,1.0,0.0,-1.0,0.0,-1.0,19.09,-1.0,0.7,-1.0
2016-02-01 06:00:00,3,35.0,-1.0,-9999.0,1.0,-9999.0,1.0,8.0,-1.0,15.2,-1.0,23.3,-1.0,2.6,-1.0,0.76,-1.0,-9964.0,4.1964,-9999.0,1.0,74.9,-1.0,84.7,-1.0,643.739,1.0,0.0,-1.0,0.0,-1.0,19.08,-1.0,0.7,-1.0
2016-02-01 07:00:00,3,36.0,-1.0,-9999.0,1.0,-9999.0,1.0,14.8,-1.0,15.8,-1.0,30.6,-1.0,2.5,-1.0,0.89,-1.0,-9964.0,4.1964,-9999.0,1.0,75.5,-1.0,83.5,-1.0,644.158,1.0,0.0,-1.0,4.5,-1.0,19.23,-1.0,1.0,-1.0
2016-02-01 08:00:00,3,31.0,-1.0,-9999.0,1.0,-9999.0,1.0,19.8,-1.0,15.7,-1.0,35.5,-1.0,4.5,-1.0,0.81,-1.0,-9964.0,4.1964,-9999.0,1.0,55.5,-1.0,82.2,-1.0,644.567,1.0,0.0,-1.0,119.6,-1.0,19.76,-1.0,0.7,-1.0
2016-02-01 09:00:00,3,35.0,-1.0,-9999.0,1.0,-9999.0,1.0,12.3,-1.0,13.7,-1.0,26.0,-1.0,10.6,-1.0,0.72,-1.0,-9964.0,4.1964,-9999.0,1.0,90.6,-1.0,71.4,-1.0,644.814,1.0,0.0,-1.0,243.5,-1.0,21.69,-1.0,1.1,-1.0
