station;VARIABLE;YEAR;MONTH;DAY;HOUR;Value
station83;Temperature;2019;1;2;7;16.1583333333333
station68;Temperature;2019;1;2;7;17.8283333333333
station197;Temperature;2019;1;2;7;16.6141666
station59;Temperature;2019;1;2;7;15.6333333333333
station313;Temperature;2019;1;2;7;13.6331666666667
station252;Temperature;2019;1;2;7;16.63833295
station206;Temperature;2019;1;2;7;16.1333333333333
station229;Temperature;2019;1;2;7;16.6896665833333
station322;Temperature;2019;1;2;7;15.53616665
station318;Temperature;2019;1;2;7;15.5199999666667
station105;Temperature;2019;1;2;7;12.5716666666667
station82;Temperature;2019;1;2;8;19.9366666666667
station254;Temperature;2019;1;2;8;19.4568334
station319;Temperature;2019;1;2;8;21.4040000666667
station271;Temperature;2019;1;2;8;21.3808334333333
station349;Temperature;2019;1;2;8;-999
station83;Temperature;2019;1;2;8;17.8783333333333
station68;Temperature;2019;1;2;8;19.7966666666667
station197;Temperature;2019;1;2;8;20.6394999333333
station59;Temperature;2019;1;2;8;17.8166666666667
station313;Temperature;2019;1;2;8;15.0349999666667
station252;Temperature;2019;1;2;8;19.2268333333333
station206;Temperature;2019;1;2;8;17.7933333333333
station229;Temperature;2019;1;2;8;18.73783335
station322;Temperature;2019;1;2;8;19.7583332333333
station318;Temperature;2019;1;2;8;19.22233315
station105;Temperature;2019;1;2;8;16.8433333333333
station82;Temperature;2019;1;2;9;22.4633333333333
station254;Temperature;2019;1;2;9;22.4354999
station319;Temperature;2019;1;2;9;24.5178333833333
station271;Temperature;2019;1;2;9;23.4731666
station349;Temperature;2019;1;2;9;-999
station83;Temperature;2019;1;2;9;20.1066666666667
station68;Temperature;2019;1;2;9;21.9083333333333
station197;Temperature;2019;1;2;9;22.2941665666667
station59;Temperature;2019;1;2;9;20.015
station313;Temperature;2019;1;2;9;18.1946665666667
station252;Temperature;2019;1;2;9;20.8273333666667
station206;Temperature;2019;1;2;9;19.4983333333333
station229;Temperature;2019;1;2;9;19.69250005
station322;Temperature;2019;1;2;9;21.4010001
station318;Temperature;2019;1;2;9;20.6469999666667
station105;Temperature;2019;1;2;9;19.1616666666667
station82;Temperature;2019;1;2;10;24.6266666666667
station254;Temperature;2019;1;2;10;25.1450000166667
station319;Temperature;2019;1;2;10;26.3053333666667
station271;Temperature;2019;1;2;10;25.3266665
station349;Temperature;2019;1;2;10;-999
station83;Temperature;2019;1;2;10;22.0883333333333
station68;Temperature;2019;1;2;10;24.855
station197;Temperature;2019;1;2;10;23.9516666
station59;Temperature;2019;1;2;10;22.315
station313;Temperature;2019;1;2;10;19.7873334166667
station252;Temperature;2019;1;2;10;22.7929999
station206;Temperature;2019;1;2;10;21.6116666666667
station229;Temperature;2019;1;2;10;21.4021664666667
station322;Temperature;2019;1;2;10;23.32366655
station318;Temperature;2019;1;2;10;22.3748332833333
station105;Temperature;2019;1;2;10;20.8466666666667
station82;Temperature;2019;1;2;11;25.4716666666667
station254;Temperature;2019;1;2;11;26.8343335666667
station319;Temperature;2019;1;2;11;27.6068334333333
station271;Temperature;2019;1;2;11;26.88416665
station349;Temperature;2019;1;2;11;-999
station83;Temperature;2019;1;2;11;24.6916666666667
station68;Temperature;2019;1;2;11;26.2866666666667
station197;Temperature;2019;1;2;11;26.3506667666667
station59;Temperature;2019;1;2;11;24.3266666666667
station313;Temperature;2019;1;2;11;21.74433315
station252;Temperature;2019;1;2;11;25.2273332833333
station206;Temperature;2019;1;2;11;23.5183333333333
station229;Temperature;2019;1;2;11;23.4468334166667
station322;Temperature;2019;1;2;11;25.1378333
station318;Temperature;2019;1;2;11;24.72999975
station105;Temperature;2019;1;2;11;23.185
station82;Temperature;2019;1;2;12;27.095
station254;Temperature;2019;1;2;12;28.6355001333333
station319;Temperature;2019;1;2;12;29.11300015
station271;Temperature;2019;1;2;12;28.1528333333333
station349;Temperature;2019;1;2;12;-999
station83;Temperature;2019;1;2;12;25.355
station68;Temperature;2019;1;2;12;28.0416666666667
